created_at,total_order_count
30-01-2019,3
31-01-2019,3
01-02-2019,22
02-02-2019,7
03-02-2019,7
04-02-2019,2
05-02-2019,6
06-02-2019,3
07-02-2019,5
08-02-2019,8
09-02-2019,3
10-02-2019,5
21-07-2020,1
20-07-2020,3
19-07-2020,1
18-07-2020,1
17-07-2020,3
16-07-2020,1
15-07-2020,17
11-02-2019,6
12-02-2019,2
13-02-2019,25
14-02-2019,7
15-02-2019,26
16-02-2019,7
17-02-2019,17
18-02-2019,3
19-02-2019,1
20-02-2019,6
21-02-2019,9
22-02-2019,10
23-02-2019,3
24-02-2019,4
25-02-2019,5
26-02-2019,2
27-02-2019,14
28-02-2019,8
01-03-2019,5
02-03-2019,4
03-03-2019,2
04-03-2019,3
05-03-2019,6
06-03-2019,12
07-03-2019,2
08-03-2019,3
09-03-2019,12
10-03-2019,21
11-03-2019,1
12-03-2019,4
13-03-2019,11
14-03-2019,2
15-03-2019,2
16-03-2019,1
17-03-2019,19
18-03-2019,5
19-03-2019,6
20-03-2019,1
21-03-2019,10
22-03-2019,9
23-03-2019,7
24-03-2019,7
25-03-2019,3
26-03-2019,1
27-03-2019,23
28-03-2019,2
29-03-2019,25
30-03-2019,10
31-03-2019,14
14-07-2020,1
13-07-2020,1
01-04-2019,4
02-04-2019,4
03-04-2019,6
04-04-2019,2
05-04-2019,20
06-04-2019,12
07-04-2019,2
08-04-2019,2
09-04-2019,7
10-04-2019,19
11-04-2019,3
12-04-2019,11
13-04-2019,1
14-04-2019,8
15-04-2019,6
16-04-2019,2
17-04-2019,24
18-04-2019,7
19-04-2019,19
20-04-2019,9
21-04-2019,2
22-04-2019,4
23-04-2019,8
12-07-2020,7
24-04-2019,21
25-04-2019,2
26-04-2019,27
27-04-2019,4
28-04-2019,11
29-04-2019,2
30-04-2019,5
01-05-2019,14
02-05-2019,1
03-05-2019,2
04-05-2019,8
05-05-2019,3
06-05-2019,4
07-05-2019,3
08-05-2019,9
09-05-2019,1
10-05-2019,23
11-05-2019,1
12-05-2019,15
13-05-2019,5
14-05-2019,1
15-05-2019,13
16-05-2019,1
17-05-2019,12
18-05-2019,3
19-05-2019,1
20-05-2019,4
21-05-2019,2
22-05-2019,9
23-05-2019,10
24-05-2019,21
11-07-2020,1
25-05-2019,3
26-05-2019,7
27-05-2019,1
28-05-2019,4
29-05-2019,23
30-05-2019,3
31-05-2019,4
01-06-2019,1
02-06-2019,4
03-06-2019,2
04-06-2019,10
05-06-2019,2
06-06-2019,1
07-06-2019,1
08-06-2019,4
09-06-2019,6
10-06-2019,5
11-06-2019,3
12-06-2019,5
13-06-2019,3
14-06-2019,16
15-06-2019,9
16-06-2019,19
17-06-2019,1
18-06-2019,5
19-06-2019,4
20-06-2019,1
21-06-2019,3
22-06-2019,8
23-06-2019,2
24-06-2019,1
25-06-2019,4
26-06-2019,40
27-06-2019,1
28-06-2019,5
10-07-2020,3
29-06-2019,7
30-06-2019,6
01-07-2019,1
02-07-2019,3
03-07-2019,18
04-07-2019,8
05-07-2019,6
06-07-2019,12
07-07-2019,17
08-07-2019,3
09-07-2019,17
10-07-2019,3
11-07-2019,4
12-07-2019,10
13-07-2019,2
14-07-2019,17
15-07-2019,5
16-07-2019,10
17-07-2019,7
18-07-2019,1
19-07-2019,27
20-07-2019,14
21-07-2019,4
22-07-2019,11
23-07-2019,5
24-07-2019,17
25-07-2019,25
26-07-2019,40
27-07-2019,19
28-07-2019,13
29-07-2019,15
30-07-2019,18
31-07-2019,37
01-08-2019,16
02-08-2019,10
03-08-2019,7
04-08-2019,33
05-08-2019,7
06-08-2019,1
07-08-2019,33
08-08-2019,26
09-08-2019,30
10-08-2019,42
11-08-2019,40
12-08-2019,8
13-08-2019,12
14-08-2019,10
15-08-2019,48
16-08-2019,4
17-08-2019,16
09-07-2020,3
18-08-2019,18
19-08-2019,14
20-08-2019,13
21-08-2019,36
22-08-2019,3
23-08-2019,45
24-08-2019,54
08-07-2020,1
25-08-2019,27
26-08-2019,11
27-08-2019,7
28-08-2019,52
29-08-2019,18
30-08-2019,3
31-08-2019,6
01-09-2019,13
02-09-2019,22
03-09-2019,18
04-09-2019,38
05-09-2019,23
06-09-2019,8
07-09-2019,45
08-09-2019,31
09-09-2019,11
10-09-2019,16
11-09-2019,7
12-09-2019,12
13-09-2019,60
14-09-2019,5
